t,v,s,f,q
2010-02-27 00:00,1.325,0.035,"0,0,0,0",v
2010-02-27 00:06,1.279,0.029,"0,0,0,0",v
2010-02-27 00:12,1.203,0.023,"0,0,0,0",v
2010-02-27 00:18,1.211,0.025,"0,0,0,0",v
2010-02-27 00:24,1.237,0.03,"0,0,0,0",v
2010-02-27 00:30,1.437,0.046,"0,0,0,0",v
2010-02-27 00:36,1.462,0.033,"0,0,0,0",v
2010-02-27 00:42,1.27,0.032,"0,0,0,0",v
2010-02-27 00:48,1.274,0.037,"0,0,0,0",v
2010-02-27 00:54,1.321,0.028,"0,0,0,0",v
2010-02-27 01:00,1.336,0.038,"0,0,0,0",v
2010-02-27 01:06,1.465,0.03,"0,0,0,0",v
2010-02-27 01:12,1.47,0.023,"0,0,0,0",v
2010-02-27 01:18,1.526,0.037,"0,0,0,0",v
2010-02-27 01:24,1.583,0.029,"0,0,0,0",v
2010-02-27 01:30,1.554,0.028,"0,0,0,0",v
2010-02-27 01:36,1.573,0.029,"0,0,0,0",v
2010-02-27 01:42,1.632,0.029,"0,0,0,0",v
2010-02-27 01:48,1.634,0.025,"0,0,0,0",v
2010-02-27 01:54,1.688,0.031,"0,0,0,0",v
2010-02-27 02:00,1.838,0.034,"0,0,0,0",v
2010-02-27 02:06,1.807,0.024,"0,0,0,0",v
2010-02-27 02:12,1.876,,"0,0,0,0",v
2010-02-27 02:18,1.969,0.028,"0,0,0,0",v
2010-02-27 02:24,1.982,0.031,"0,0,0,0",v
2010-02-27 02:30,1.936,0.028,"0,0,0,0",v
2010-02-27 02:36,2.028,0.033,"0,0,0,0",v
2010-02-27 02:42,2.092,0.027,"0,0,0,0",v
2010-02-27 02:48,2.099,0.031,"0,0,0,0",v
2010-02-27 02:54,2.194,0.042,"0,0,0,0",v
2010-02-27 03:00,2.357,0.04,"0,0,0,0",v
2010-02-27 03:06,2.292,0.0,"1,0,0,0",v
2010-02-27 03:12,2.226,,"0,0,0,0",v
2010-02-27 03:18,2.405,0.036,"0,0,0,0",v
2010-02-27 03:24,2.551,0.027,"0,0,0,0",v
2010-02-27 03:30,2.496,0.029,"0,0,0,0",v
2010-02-27 03:36,2.463,0.02,"0,0,0,0",v
2010-02-27 03:42,2.556,0.033,"0,0,0,0",v
2010-02-27 03:48,2.68,0.024,"0,0,0,0",v
2010-02-27 03:54,2.744,0.029,"0,0,0,0",v
2010-02-27 04:00,2.765,0.029,"0,0,0,0",v
2010-02-27 04:06,2.811,0.029,"0,0,0,0",v
2010-02-27 04:12,2.814,0.028,"0,0,0,0",v
2010-02-27 04:18,2.793,0.029,"0,0,0,0",v
2010-02-27 04:24,2.934,0.031,"0,0,0,0",v
2010-02-27 04:30,2.98,0.035,"0,0,0,0",v
2010-02-27 04:36,3.008,0.029,"0,0,0,0",v
2010-02-27 04:42,3.072,0.033,"0,0,0,0",v
2010-02-27 04:48,3.125,0.03,"0,0,0,0",v
2010-02-27 04:54,3.134,0.027,"0,0,0,0",v
2010-02-27 05:00,3.11,0.031,"0,0,0,0",v
2010-02-27 05:06,3.149,0.028,"0,0,0,0",v
2010-02-27 05:12,3.17,0.026,"0,0,0,0",v
2010-02-27 05:18,3.2,0.035,"0,0,0,0",v
2010-02-27 05:24,3.285,0.028,"0,0,0,0",v
2010-02-27 05:30,3.314,0.028,"0,0,0,0",v
2010-02-27 05:36,3.33,0.027,"0,0,0,0",v
2010-02-27 05:42,3.333,0.028,"0,0,0,0",v
2010-02-27 05:48,3.335,0.026,"0,0,0,0",v
2010-02-27 05:54,3.363,0.028,"0,0,0,0",v
2010-02-27 06:00,3.393,0.025,"0,0,0,0",v
2010-02-27 06:06,3.366,0.027,"0,0,0,0",v
2010-02-27 06:12,3.348,0.023,"0,0,0,0",v
2010-02-27 06:18,3.421,0.025,"0,0,0,0",v
2010-02-27 06:24,3.423,0.027,"0,0,0,0",v
2010-02-27 06:30,3.423,,"0,0,0,0",v
2010-02-27 06:36,3.387,0.025,"0,0,0,0",v
2010-02-27 06:42,3.345,0.029,"0,0,0,0",v
2010-02-27 06:48,3.368,0.028,"0,0,0,0",v
2010-02-27 06:54,3.425,0.032,"0,0,0,0",v
2010-02-27 07:00,3.365,0.036,"0,0,0,0",v
2010-02-27 07:06,3.336,0.024,"0,0,0,0",v
2010-02-27 07:12,3.356,0.029,"0,0,0,0",v
2010-02-27 07:18,3.366,0.025,"0,0,0,0",v
2010-02-27 07:24,3.302,0.023,"0,0,0,0",v
2010-02-27 07:30,3.215,,"0,0,0,0",v
2010-02-27 07:36,3.228,0.028,"0,0,0,0",v
2010-02-27 07:42,3.22,0.026,"0,0,0,0",v
2010-02-27 07:48,3.202,0.024,"0,0,0,0",v
2010-02-27 07:54,3.189,0.026,"0,0,0,0",v
2010-02-27 08:00,3.209,0.024,"0,0,0,0",v
2010-02-27 08:06,3.203,0.025,"0,0,0,0",v
2010-02-27 08:12,3.094,0.03,"0,0,0,0",v
2010-02-27 08:18,3.024,,"0,0,0,0",v
2010-02-27 08:24,3.018,0.024,"0,0,0,0",v
2010-02-27 08:30,2.951,0.028,"0,0,0,0",v
2010-02-27 08:36,2.902,0.024,"0,0,0,0",v
2010-02-27 08:42,2.944,0.022,"0,0,0,0",v
2010-02-27 08:48,2.942,0.024,"0,0,0,0",v
2010-02-27 08:54,2.838,0.018,"0,0,0,0",v
2010-02-27 09:00,2.852,0.02,"0,0,0,0",v
2010-02-27 09:06,2.799,0.024,"0,0,0,0",v
2010-02-27 09:12,2.687,0.029,"0,0,0,0",v
2010-02-27 09:18,2.669,0.02,"0,0,0,0",v
2010-02-27 09:24,2.716,0.022,"0,0,0,0",v
2010-02-27 09:30,2.635,0.028,"0,0,0,0",v
2010-02-27 09:36,2.506,0.02,"0,0,0,0",v
2010-02-27 09:42,2.548,0.024,"0,0,0,0",v
2010-02-27 09:48,2.564,0.02,"0,0,0,0",v
2010-02-27 09:54,2.454,0.03,"0,0,0,0",v
2010-02-27 10:00,2.355,0.019,"0,0,0,0",v
2010-02-27 10:06,2.391,0.02,"0,0,0,0",v
2010-02-27 10:12,2.41,0.016,"0,0,0,0",v
2010-02-27 10:18,2.314,0.018,"0,0,0,0",v
2010-02-27 10:24,2.321,0.015,"0,0,0,0",v
2010-02-27 10:30,2.32,0.016,"0,0,0,0",v
2010-02-27 10:36,2.272,0.02,"0,0,0,0",v
2010-02-27 10:42,2.233,0.016,"0,0,0,0",v
2010-02-27 10:48,2.18,0.021,"0,0,0,0",v
2010-02-27 10:54,2.147,0.016,"0,0,0,0",v
2010-02-27 11:00,2.111,0.017,"0,0,0,0",v
2010-02-27 11:06,2.112,0.014,"0,0,0,0",v
2010-02-27 11:12,2.151,,"0,0,0,0",v
2010-02-27 11:18,2.147,0.016,"0,0,0,0",v
2010-02-27 11:24,2.108,0.02,"0,0,0,0",v
2010-02-27 11:30,2.055,0.018,"0,0,0,0",v
2010-02-27 11:36,2.081,0.018,"0,0,0,0",v
2010-02-27 11:42,2.071,0.014,"0,0,0,0",v
2010-02-27 11:48,2.022,0.018,"0,0,0,0",v
2010-02-27 11:54,1.99,0.014,"0,0,0,0",v
2010-02-27 12:00,2.077,,"0,0,0,0",v
2010-02-27 12:06,2.098,0.018,"0,0,0,0",v
2010-02-27 12:12,2.057,0.015,"0,0,0,0",v
2010-02-27 12:18,2.102,0.018,"0,0,0,0",v
2010-02-27 12:24,2.121,0.021,"0,0,0,0",v
2010-02-27 12:30,2.015,0.024,"0,0,0,0",v
2010-02-27 12:36,2.034,0.022,"0,0,0,0",v
2010-02-27 12:42,2.129,0.016,"0,0,0,0",v
2010-02-27 12:48,2.172,0.016,"0,0,0,0",v
2010-02-27 12:54,2.133,0.015,"0,0,0,0",v
2010-02-27 13:00,2.147,0.019,"0,0,0,0",v
2010-02-27 13:06,2.224,0.018,"0,0,0,0",v
2010-02-27 13:12,2.242,0.017,"0,0,0,0",v
2010-02-27 13:18,2.224,0.019,"0,0,0,0",v
2010-02-27 13:24,2.229,0.017,"0,0,0,0",v
2010-02-27 13:30,2.278,0.015,"0,0,0,0",v
2010-02-27 13:36,2.329,0.016,"0,0,0,0",v
2010-02-27 13:42,2.386,0.024,"0,0,0,0",v
2010-02-27 13:48,2.447,0.023,"0,0,0,0",v
2010-02-27 13:54,2.384,0.018,"0,0,0,0",v
2010-02-27 14:00,2.474,0.028,"0,0,0,0",v
2010-02-27 14:06,2.583,0.018,"0,0,0,0",v
2010-02-27 14:12,2.558,0.021,"0,0,0,0",v
2010-02-27 14:18,2.563,0.018,"0,0,0,0",v
2010-02-27 14:24,2.627,0.02,"0,0,0,0",v
2010-02-27 14:30,2.679,0.021,"0,0,0,0",v
2010-02-27 14:36,2.716,0.016,"0,0,0,0",v
2010-02-27 14:42,2.777,0.021,"0,0,0,0",v
2010-02-27 14:48,2.822,0.024,"0,0,0,0",v
2010-02-27 14:54,2.848,0.02,"0,0,0,0",v
2010-02-27 15:00,2.886,0.024,"0,0,0,0",v
2010-02-27 15:06,2.961,0.025,"0,0,0,0",v
2010-02-27 15:12,3.013,0.023,"0,0,0,0",v
2010-02-27 15:18,3.076,0.0,"1,0,0,0",v
2010-02-27 15:24,3.139,,"0,0,0,0",v
2010-02-27 15:30,3.158,0.028,"0,0,0,0",v
2010-02-27 15:36,3.188,0.02,"0,0,0,0",v
2010-02-27 15:42,3.225,0.019,"0,0,0,0",v
2010-02-27 15:48,3.237,0.032,"0,0,0,0",v
2010-02-27 15:54,3.252,0.034,"0,0,0,0",v
2010-02-27 16:00,3.325,0.028,"0,0,0,0",v
2010-02-27 16:06,3.367,0.04,"0,0,0,0",v
2010-02-27 16:12,3.461,0.037,"0,0,0,0",v
2010-02-27 16:18,3.48,0.034,"0,0,0,0",v
2010-02-27 16:24,3.496,0.029,"0,0,0,0",v
2010-02-27 16:30,3.501,0.028,"0,0,0,0",v
2010-02-27 16:36,3.555,,"0,0,0,0",v
2010-02-27 16:42,3.57,0.035,"0,0,0,0",v
2010-02-27 16:48,3.575,0.034,"0,0,0,0",v
2010-02-27 16:54,3.63,0.036,"0,0,0,0",v
2010-02-27 17:00,3.672,0.031,"0,0,0,0",v
2010-02-27 17:06,3.701,0.042,"0,0,0,0",v
2010-02-27 17:12,3.711,0.03,"0,0,0,0",v
2010-02-27 17:18,3.719,0.035,"0,0,0,0",v
2010-02-27 17:24,3.718,0.032,"0,0,0,0",v
2010-02-27 17:30,3.723,0.035,"0,0,0,0",v
2010-02-27 17:36,3.7,0.033,"0,0,0,0",v
2010-02-27 17:42,3.724,0.037,"0,0,0,0",v
2010-02-27 17:48,3.757,0.033,"0,0,0,0",v
2010-02-27 17:54,3.729,0.037,"0,0,0,0",v
2010-02-27 18:00,3.78,,"0,0,0,0",v
2010-02-27 18:06,3.774,0.038,"0,0,0,0",v
2010-02-27 18:12,3.718,0.034,"0,0,0,0",v
2010-02-27 18:18,3.765,0.042,"0,0,0,0",v
2010-02-27 18:24,3.747,0.031,"0,0,0,0",v
2010-02-27 18:30,3.702,0.039,"0,0,0,0",v
2010-02-27 18:36,3.693,0.032,"0,0,0,0",v
2010-02-27 18:42,3.666,0.04,"0,0,0,0",v
2010-02-27 18:48,3.663,0.04,"0,0,0,0",v
2010-02-27 18:54,3.647,0.038,"0,0,0,0",v
2010-02-27 19:00,3.574,0.04,"0,0,0,0",v
2010-02-27 19:06,3.574,0.037,"0,0,0,0",v
2010-02-27 19:12,3.5,0.033,"0,0,0,0",v
2010-02-27 19:18,3.493,0.033,"0,0,0,0",v
2010-02-27 19:24,3.463,0.031,"0,0,0,0",v
2010-02-27 19:30,3.466,0.038,"0,0,0,0",v
2010-02-27 19:36,3.399,0.033,"0,0,0,0",v
2010-02-27 19:42,3.385,0.035,"0,0,0,0",v
2010-02-27 19:48,3.314,0.041,"0,0,0,0",v
2010-02-27 19:54,3.26,0.038,"0,0,0,0",v
2010-02-27 20:00,3.18,0.033,"0,0,0,0",v
2010-02-27 20:06,3.154,0.03,"0,0,0,0",v
2010-02-27 20:12,3.096,0.04,"0,0,0,0",v
2010-02-27 20:18,3.019,0.036,"0,0,0,0",v
2010-02-27 20:24,2.961,0.032,"0,0,0,0",v
2010-02-27 20:30,2.95,0.034,"0,0,0,0",v
2010-02-27 20:36,2.872,0.034,"0,0,0,0",v
2010-02-27 20:42,2.787,0.035,"0,0,0,0",v
2010-02-27 20:48,2.777,0.035,"0,0,0,0",v
2010-02-27 20:54,2.694,0.03,"0,0,0,0",v
2010-02-27 21:00,2.573,,"0,0,0,0",v
2010-02-27 21:06,2.534,0.028,"0,0,0,0",v
2010-02-27 21:12,2.544,0.027,"0,0,0,0",v
2010-02-27 21:18,2.429,0.036,"0,0,0,0",v
2010-02-27 21:24,2.347,0.029,"0,0,0,0",v
2010-02-27 21:30,2.284,0.028,"0,0,0,0",v
2010-02-27 21:36,2.209,0.05,"0,0,0,0",v
2010-02-27 21:42,2.099,0.022,"0,0,0,0",v
2010-02-27 21:48,2.289,0.035,"0,0,0,0",v
2010-02-27 21:54,2.357,0.025,"0,0,0,0",v
2010-02-27 22:00,2.106,,"0,0,0,0",v
2010-02-27 22:06,1.916,0.024,"0,0,0,0",v
2010-02-27 22:12,2.012,0.034,"0,0,0,0",v
2010-02-27 22:18,1.954,0.041,"0,0,0,0",v
2010-02-27 22:24,1.866,0.034,"0,0,0,0",v
2010-02-27 22:30,1.694,0.063,"0,0,0,0",v
2010-02-27 22:36,1.141,0.046,"0,0,0,0",v
2010-02-27 22:42,1.194,0.085,"0,0,1,0",v
2010-02-27 22:48,1.676,0.033,"0,0,0,0",v
2010-02-27 22:54,1.377,,"0,0,1,0",v
2010-02-27 23:00,1.399,0.046,"0,0,1,0",v
2010-02-27 23:06,1.706,0.037,"0,0,0,0",v
2010-02-27 23:12,1.44,0.033,"0,0,1,0",v
2010-02-27 23:18,1.439,0.037,"0,0,1,0",v
2010-02-27 23:24,1.381,0.061,"0,0,0,0",v
2010-02-27 23:30,1.161,0.053,"0,0,0,0",v
2010-02-27 23:36,1.516,0.037,"0,0,1,0",v
2010-02-27 23:42,0.927,0.104,"0,0,1,0",v
2010-02-27 23:48,0.604,0.047,"0,0,1,0",v
2010-02-27 23:54,1.045,,"0,0,1,0",v
2010-02-28 00:00,0.9,0.102,"0,0,1,0",v
2010-02-28 00:06,0.853,0.077,"0,0,1,0",v
2010-02-28 00:12,1.514,0.108,"0,0,1,0",v
2010-02-28 00:18,1.38,0.078,"0,0,1,0",v
2010-02-28 00:24,0.763,0.077,"0,0,0,0",v
2010-02-28 00:30,0.93,0.073,"0,0,1,0",v
2010-02-28 00:36,1.074,0.044,"0,0,1,0",v
2010-02-28 00:42,1.089,0.061,"0,0,0,0",v
2010-02-28 00:48,0.941,0.076,"0,0,0,0",v
2010-02-28 00:54,1.068,0.042,"0,0,0,0",v
2010-02-28 01:00,0.978,0.057,"0,0,1,0",v
2010-02-28 01:06,0.648,0.032,"0,0,0,0",v
2010-02-28 01:12,1.083,0.083,"0,0,1,0",v
2010-02-28 01:18,1.313,0.041,"0,0,1,0",v
2010-02-28 01:24,1.072,0.077,"0,0,0,0",v
2010-02-28 01:30,0.788,0.035,"0,0,0,0",v
2010-02-28 01:36,0.913,0.084,"0,0,1,0",v
2010-02-28 01:42,1.54,0.049,"0,0,0,0",v
2010-02-28 01:48,1.377,0.099,"0,0,1,0",v
2010-02-28 01:54,0.88,0.062,"0,0,1,0",v
2010-02-28 02:00,1.239,,"0,0,1,0",v
2010-02-28 02:06,1.439,0.042,"0,0,1,0",v
2010-02-28 02:12,1.201,0.053,"0,0,0,0",v
2010-02-28 02:18,1.341,0.069,"0,0,1,0",v
2010-02-28 02:24,1.465,0.039,"0,0,0,0",v
2010-02-28 02:30,1.393,0.032,"0,0,0,0",v
2010-02-28 02:36,1.346,0.033,"0,0,0,0",v
2010-02-28 02:42,1.561,0.038,"0,0,0,0",v
2010-02-28 02:48,1.208,0.043,"0,0,1,0",v
2010-02-28 02:54,1.628,,"0,0,1,0",v
2010-02-28 03:00,1.856,0.038,"0,0,1,0",v
2010-02-28 03:06,1.919,0.042,"0,0,0,0",v
2010-02-28 03:12,1.832,0.028,"0,0,0,0",v
2010-02-28 03:18,1.659,0.045,"0,0,0,0",v
