station_id,timestamp_utc,seconds_from_origin,height_m
54401,2010-02-27T05:45:00+00:00,-2954,5836.947
54401,2010-02-27T06:00:00+00:00,-2054,5836.928
54401,2010-02-27T06:15:00+00:00,-1154,5836.900
54401,2010-02-27T06:30:00+00:00,-254,5836.867
54401,2010-02-27T06:45:00+00:00,646,5836.828
54401,2010-02-27T07:00:00+00:00,1546,5836.782
54401,2010-02-27T07:15:00+00:00,2446,5836.677
54401,2010-02-27T07:30:00+00:00,3346,5836.679
54401,2010-02-27T07:45:00+00:00,4246,5836.603
54401,2010-02-27T08:00:00+00:00,5146,5836.542
54401,2010-02-27T08:15:00+00:00,6046,5836.470
54401,2010-02-27T08:30:00+00:00,6946,5836.407
54401,2010-02-27T08:45:00+00:00,7846,5836.341
54401,2010-02-27T09:00:00+00:00,8746,5836.275
54401,2010-02-27T09:15:00+00:00,9646,5836.205
54401,2010-02-27T09:30:00+00:00,10546,5836.144
54401,2010-02-27T09:45:00+00:00,11446,5836.086
54401,2010-02-27T10:00:00+00:00,12346,5836.035
54401,2010-02-27T10:15:00+00:00,13246,5835.986
54401,2010-02-27T10:30:00+00:00,14146,5835.949
54401,2010-02-27T10:45:00+00:00,15046,5835.916
54401,2010-02-27T11:00:00+00:00,15946,5835.893
54401,2010-02-27T11:15:00+00:00,16846,5835.874
54401,2010-02-27T11:30:00+00:00,17746,5835.867
54401,2010-02-27T11:45:00+00:00,18646,5835.865
54401,2010-02-27T12:00:00+00:00,19546,5835.877
54401,2010-02-27T12:15:00+00:00,20446,5835.895
54401,2010-02-27T12:30:00+00:00,21346,5835.920
