#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2010 01 27 06 45 00 1 3244.161
2010 01 27 07 00 00 1 3244.103
2010 01 27 07 15 00 1 3244.030
2010 01 27 07 30 00 1 3243.954
2010 01 27 07 45 00 1 3243.878
2010 01 27 08 00 00 1 3243.798
2010 01 27 08 15 00 1 3243.711
2010 01 27 08 30 00 1 3243.629
2010 01 27 08 45 00 1 3243.545
2010 01 27 09 00 00 1 3243.462
2010 01 27 09 15 00 1 3243.381
2010 01 27 09 30 00 1 3243.304
2010 01 27 09 45 00 1 3243.233
2010 01 27 10 00 00 1 3243.166
2010 01 27 10 15 00 1 3243.108
2010 01 27 10 30 00 1 3243.057
2010 01 27 10 45 00 1 3243.019
2010 01 27 11 00 00 1 3242.986
2010 01 27 11 15 00 1 3242.965
2010 01 27 11 30 00 1 3242.952
2010 01 27 11 45 00 1 3242.952
2010 01 27 12 00 00 1 3242.962
2010 01 27 12 15 00 1 3242.979
2010 01 27 12 30 00 1 3243.009
2010 01 27 12 45 00 1 3243.051
2010 01 27 13 00 00 1 3243.097
2010 01 27 13 15 00 1 3243.149
2010 01 27 13 30 00 1 3243.210
2010 01 27 13 45 00 1 3243.279
2010 01 27 14 00 00 1 3243.351
2010 01 27 14 15 00 1 3243.430
2010 01 27 14 30 00 1 3243.506
2010 01 27 14 45 00 1 3243.586
2010 01 27 15 00 00 1 3243.668
2010 01 27 15 15 00 1 3243.745
2010 01 27 15 30 00 1 3243.820
2010 01 27 15 45 00 1 3243.894
2010 01 27 16 00 00 1 3243.963
2010 01 27 16 15 00 1 3244.024
2010 01 27 16 30 00 1 3244.076
2010 01 27 16 45 00 1 3244.121
2010 01 27 17 00 00 1 3244.157
2010 01 27 17 15 00 1 3244.184
2010 01 27 17 30 00 1 3244.203
2010 01 27 17 45 00 1 3244.214
2010 01 27 18 00 00 1 3244.208
2010 01 27 18 15 00 1 3244.197
2010 01 27 18 30 00 1 3244.175
2010 01 27 18 45 00 1 3244.143
2010 01 27 19 00 00 1 3244.100
2010 01 27 19 15 00 1 3244.051
2010 01 27 19 30 00 1 3243.994
2010 01 27 19 45 00 1 3243.929
2010 01 27 20 00 00 1 3243.863
2010 01 27 20 15 00 1 3243.792
2010 01 27 20 30 00 1 3243.716
2010 01 27 20 45 00 1 3243.641
2010 01 27 21 00 00 1 3243.565
2010 01 27 21 15 00 1 3243.482
2010 01 27 21 30 00 1 3243.405
2010 01 27 21 45 00 1 3243.329
2010 01 27 22 00 00 1 3243.259
2010 01 27 22 15 00 1 3243.193
2010 01 27 22 30 00 1 3243.138
2010 01 27 22 45 00 1 3243.086
2010 01 27 23 00 00 1 3243.044
2010 01 27 23 15 00 1 3243.011
