t,v,s,f,q
2015-09-16 00:00,1.435,0.016,"0,0,0,0",v
2015-09-16 00:06,1.441,0.015,"0,0,0,0",v
2015-09-16 00:12,1.459,0.015,"0,0,0,0",v
2015-09-16 00:18,1.471,0.016,"0,0,0,0",v
2015-09-16 00:24,1.459,0.018,"0,0,0,0",v
2015-09-16 00:30,1.476,0.023,"0,0,0,0",v
2015-09-16 00:36,1.487,0.019,"0,0,0,0",v
2015-09-16 00:42,1.495,0.023,"0,0,0,0",v
2015-09-16 00:48,1.507,0.016,"0,0,0,0",v
2015-09-16 00:54,1.524,0.015,"0,0,0,0",v
2015-09-16 01:00,1.519,0.017,"0,0,0,0",v
2015-09-16 01:06,1.509,0.016,"0,0,0,0",v
2015-09-16 01:12,1.52,0.022,"0,0,0,0",v
2015-09-16 01:18,1.531,0.017,"0,0,0,0",v
2015-09-16 01:24,1.521,0.019,"0,0,0,0",v
2015-09-16 01:30,1.524,0.016,"0,0,0,0",v
2015-09-16 01:36,1.542,0.015,"0,0,0,0",v
2015-09-16 01:42,1.533,0.019,"0,0,0,0",v
2015-09-16 01:48,1.534,0.017,"0,0,0,0",v
2015-09-16 01:54,1.529,0.02,"0,0,0,0",v
2015-09-16 02:00,1.526,0.017,"0,0,0,0",v
2015-09-16 02:06,1.54,0.016,"0,0,0,0",v
2015-09-16 02:12,1.539,0.015,"0,0,0,0",v
2015-09-16 02:18,1.541,0.017,"0,0,0,0",v
2015-09-16 02:24,1.546,0.015,"0,0,0,0",v
2015-09-16 02:30,1.544,0.023,"0,0,0,0",v
2015-09-16 02:36,1.538,0.025,"0,0,0,0",v
2015-09-16 02:42,1.53,0.018,"0,0,0,0",v
2015-09-16 02:48,1.543,0.018,"0,0,0,0",v
2015-09-16 02:54,1.538,0.017,"0,0,0,0",v
2015-09-16 03:00,1.534,0.017,"0,0,0,0",v
2015-09-16 03:06,1.55,0.015,"0,0,0,0",v
2015-09-16 03:12,1.556,0.021,"0,0,0,0",v
2015-09-16 03:18,1.553,0.018,"0,0,0,0",v
2015-09-16 03:24,1.547,0.018,"0,0,0,0",v
2015-09-16 03:30,1.553,0.015,"0,0,0,0",v
2015-09-16 03:36,1.557,0.015,"0,0,0,0",v
2015-09-16 03:42,1.546,0.018,"0,0,0,0",v
2015-09-16 03:48,1.545,0.018,"0,0,0,0",v
2015-09-16 03:54,1.549,0.015,"0,0,0,0",v
2015-09-16 04:00,1.548,0.019,"0,0,0,0",v
2015-09-16 04:06,1.536,0.019,"0,0,0,0",v
2015-09-16 04:12,1.532,0.018,"0,0,0,0",v
2015-09-16 04:18,1.524,0.017,"0,0,0,0",v
2015-09-16 04:24,1.52,0.015,"0,0,0,0",v
2015-09-16 04:30,1.528,0.014,"0,0,0,0",v
2015-09-16 04:36,1.52,0.013,"0,0,0,0",v
2015-09-16 04:42,1.515,0.019,"0,0,0,0",v
2015-09-16 04:48,1.503,0.021,"0,0,0,0",v
2015-09-16 04:54,1.501,0.016,"0,0,0,0",v
2015-09-16 05:00,1.489,0.016,"0,0,0,0",v
2015-09-16 05:06,1.48,0.015,"0,0,0,0",v
2015-09-16 05:12,1.478,0.016,"0,0,0,0",v
2015-09-16 05:18,1.456,0.015,"0,0,0,0",v
2015-09-16 05:24,1.451,0.021,"0,0,0,0",v
2015-09-16 05:30,1.445,0.016,"0,0,0,0",v
2015-09-16 05:36,1.421,0.018,"0,0,0,0",v
2015-09-16 05:42,1.427,0.016,"0,0,0,0",v
2015-09-16 05:48,1.428,0.019,"0,0,0,0",v
2015-09-16 05:54,1.417,0.016,"0,0,0,0",v
2015-09-16 06:00,1.403,0.025,"0,0,0,0",v
2015-09-16 06:06,1.396,0.019,"0,0,0,0",v
2015-09-16 06:12,1.399,0.017,"0,0,0,0",v
2015-09-16 06:18,1.389,0.018,"0,0,0,0",v
2015-09-16 06:24,1.377,0.014,"0,0,0,0",v
2015-09-16 06:30,1.386,0.016,"0,0,0,0",v
2015-09-16 06:36,1.362,0.017,"0,0,0,0",v
