#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2015 08 16 23 00 00 1 4508.337
2015 08 16 23 15 00 1 4508.384
2015 08 16 23 30 00 1 4508.420
2015 08 16 23 45 00 1 4508.442
2015 08 17 00 00 00 1 4508.452
2015 08 17 00 15 00 1 4508.450
2015 08 17 00 30 00 1 4508.435
2015 08 17 00 45 00 1 4508.410
2015 08 17 01 00 00 1 4508.372
2015 08 17 01 15 00 1 4508.325
2015 08 17 01 30 00 1 4508.270
2015 08 17 01 45 00 1 4508.203
2015 08 17 02 00 00 1 4508.130
2015 08 17 02 15 00 1 4508.055
2015 08 17 02 30 00 1 4507.976
2015 08 17 02 45 00 1 4507.895
2015 08 17 03 00 00 1 4507.811
2015 08 17 03 15 00 1 4507.728
2015 08 17 03 30 00 1 4507.645
2015 08 17 03 45 00 1 4507.565
2015 08 17 04 00 00 1 4507.490
2015 08 17 04 15 00 1 4507.420
2015 08 17 04 30 00 1 4507.359
2015 08 17 04 45 00 1 4507.306
2015 08 17 05 00 00 1 4507.263
2015 08 17 05 15 00 1 4507.229
2015 08 17 05 30 00 1 4507.207
2015 08 17 05 45 00 1 4507.196
2015 08 17 06 00 00 1 4507.199
2015 08 17 06 15 00 1 4507.212
2015 08 17 06 30 00 1 4507.238
2015 08 17 06 45 00 1 4507.271
2015 08 17 07 00 00 1 4507.318
2015 08 17 07 15 00 1 4507.372
2015 08 17 07 30 00 1 4507.436
2015 08 17 07 45 00 1 4507.505
2015 08 17 08 00 00 1 4507.583
2015 08 17 08 15 00 1 4507.666
2015 08 17 08 30 00 1 4507.751
2015 08 17 08 45 00 1 4507.839
2015 08 17 09 00 00 1 4507.933
2015 08 17 09 15 00 1 4508.020
2015 08 17 09 30 00 1 4508.105
2015 08 17 09 45 00 1 4508.189
2015 08 17 10 00 00 1 4508.264
2015 08 17 10 15 00 1 4508.330
2015 08 17 10 30 00 1 4508.392
2015 08 17 10 45 00 1 4508.442
2015 08 17 11 00 00 1 4508.481
2015 08 17 11 15 00 1 4508.509
2015 08 17 11 30 00 1 4508.525
2015 08 17 11 45 00 1 4508.532
2015 08 17 12 00 00 1 4508.527
2015 08 17 12 15 00 1 4508.508
2015 08 17 12 30 00 1 4508.477
2015 08 17 12 45 00 1 4508.433
2015 08 17 13 00 00 1 4508.374
2015 08 17 13 15 00 1 4508.307
2015 08 17 13 30 00 1 4508.230
2015 08 17 13 45 00 1 4508.147
2015 08 17 14 00 00 1 4508.054
2015 08 17 14 15 00 1 4507.956
2015 08 17 14 30 00 1 4507.854
2015 08 17 14 45 00 1 4507.747
2015 08 17 15 00 00 1 4507.639
