t,v,s,f,q
2009-09-29 00:00,1.37,0.054,"0,0,0,0",v
2009-09-29 00:06,1.372,0.047,"0,0,0,0",v
2009-09-29 00:12,1.375,0.039,"0,0,0,0",v
2009-09-29 00:18,1.374,0.04,"0,0,0,0",v
2009-09-29 00:24,1.365,0.039,"0,0,0,0",v
2009-09-29 00:30,1.376,0.037,"0,0,0,0",v
2009-09-29 00:36,1.381,0.04,"0,0,0,0",v
2009-09-29 00:42,1.361,0.041,"0,0,0,0",v
2009-09-29 00:48,1.389,0.041,"0,0,0,0",v
2009-09-29 00:54,1.352,0.042,"0,0,0,0",v
2009-09-29 01:00,1.388,0.05,"0,0,0,0",v
2009-09-29 01:06,1.334,0.04,"0,0,0,0",v
2009-09-29 01:12,1.382,0.037,"0,0,0,0",v
2009-09-29 01:18,1.333,0.039,"0,0,0,0",v
2009-09-29 01:24,1.357,0.038,"0,0,0,0",v
2009-09-29 01:30,1.354,0.043,"0,0,0,0",v
2009-09-29 01:36,1.336,0.04,"0,0,0,0",v
2009-09-29 01:42,1.366,0.04,"0,0,0,0",v
2009-09-29 01:48,1.339,0.037,"0,0,0,0",v
2009-09-29 01:54,1.333,0.034,"0,0,0,0",v
2009-09-29 02:00,1.306,0.042,"0,0,0,0",v
2009-09-29 02:06,1.331,0.037,"0,0,0,0",v
2009-09-29 02:12,1.289,0.038,"0,0,0,0",v
2009-09-29 02:18,1.313,0.04,"0,0,0,0",v
2009-09-29 02:24,1.304,0.039,"0,0,0,0",v
2009-09-29 02:30,1.311,0.041,"0,0,0,0",v
2009-09-29 02:36,1.295,0.039,"0,0,0,0",v
2009-09-29 02:42,1.288,0.039,"0,0,0,0",v
2009-09-29 02:48,1.293,0.037,"0,0,0,0",v
2009-09-29 02:54,1.271,0.033,"0,0,0,0",v
2009-09-29 03:00,1.289,0.042,"0,0,0,0",v
2009-09-29 03:06,1.284,0.037,"0,0,0,0",v
2009-09-29 03:12,1.267,0.033,"0,0,0,0",v
2009-09-29 03:18,1.278,0.036,"0,0,0,0",v
2009-09-29 03:24,1.27,0.03,"0,0,0,0",v
2009-09-29 03:30,1.278,0.036,"0,0,0,0",v
2009-09-29 03:36,1.233,0.04,"0,0,0,0",v
2009-09-29 03:42,1.267,0.035,"0,0,0,0",v
2009-09-29 03:48,1.222,0.035,"0,0,0,0",v
2009-09-29 03:54,1.261,0.036,"0,0,0,0",v
2009-09-29 04:00,1.254,0.045,"0,0,0,0",v
2009-09-29 04:06,1.225,0.039,"0,0,0,0",v
2009-09-29 04:12,1.252,0.034,"0,0,0,0",v
2009-09-29 04:18,1.233,0.032,"0,0,0,0",v
2009-09-29 04:24,1.248,0.038,"0,0,0,0",v
2009-09-29 04:30,1.234,0.039,"0,0,0,0",v
2009-09-29 04:36,1.24,0.034,"0,0,0,0",v
2009-09-29 04:42,1.22,0.031,"0,0,0,0",v
2009-09-29 04:48,1.224,0.033,"0,0,0,0",v
2009-09-29 04:54,1.221,0.033,"0,0,0,0",v
2009-09-29 05:00,1.22,0.038,"0,0,0,0",v
2009-09-29 05:06,1.211,0.033,"0,0,0,0",v
2009-09-29 05:12,1.203,0.035,"0,0,0,0",v
2009-09-29 05:18,1.227,0.03,"0,0,0,0",v
2009-09-29 05:24,1.185,0.034,"0,0,0,0",v
2009-09-29 05:30,1.242,0.038,"0,0,0,0",v
2009-09-29 05:36,1.178,0.036,"0,0,0,0",v
2009-09-29 05:42,1.224,0.035,"0,0,0,0",v
2009-09-29 05:48,1.204,0.035,"0,0,0,0",v
2009-09-29 05:54,1.201,0.033,"0,0,0,0",v
2009-09-29 06:00,1.214,0.033,"0,0,0,0",v
2009-09-29 06:06,1.204,0.033,"0,0,0,0",v
2009-09-29 06:12,1.204,0.033,"0,0,0,0",v
2009-09-29 06:18,1.214,0.033,"0,0,0,0",v
2009-09-29 06:24,1.208,0.034,"0,0,0,0",v
2009-09-29 06:30,1.223,0.034,"0,0,0,0",v
2009-09-29 06:36,1.195,0.035,"0,0,0,0",v
2009-09-29 06:42,1.224,0.035,"0,0,0,0",v
2009-09-29 06:48,1.204,0.038,"0,0,0,0",v
2009-09-29 06:54,1.22,0.034,"0,0,0,0",v
2009-09-29 07:00,1.202,0.032,"0,0,0,0",v
2009-09-29 07:06,1.231,0.036,"0,0,0,0",v
2009-09-29 07:12,1.2,0.034,"0,0,0,0",v
2009-09-29 07:18,1.213,0.035,"0,0,0,0",v
2009-09-29 07:24,1.228,0.031,"0,0,0,0",v
2009-09-29 07:30,1.21,0.037,"0,0,0,0",v
2009-09-29 07:36,1.241,0.036,"0,0,0,0",v
2009-09-29 07:42,1.239,0.033,"0,0,0,0",v
2009-09-29 07:48,1.212,0.033,"0,0,0,0",v
2009-09-29 07:54,1.253,0.031,"0,0,0,0",v
2009-09-29 08:00,1.227,0.038,"0,0,0,0",v
2009-09-29 08:06,1.253,0.033,"0,0,0,0",v
2009-09-29 08:12,1.242,0.032,"0,0,0,0",v
2009-09-29 08:18,1.243,0.034,"0,0,0,0",v
2009-09-29 08:24,1.251,0.033,"0,0,0,0",v
2009-09-29 08:30,1.239,0.042,"0,0,0,0",v
2009-09-29 08:36,1.265,0.038,"0,0,0,0",v
2009-09-29 08:42,1.251,0.034,"0,0,0,0",v
2009-09-29 08:48,1.244,0.035,"0,0,0,0",v
2009-09-29 08:54,1.251,0.037,"0,0,0,0",v
2009-09-29 09:00,1.256,0.032,"0,0,0,0",v
2009-09-29 09:06,1.242,0.036,"0,0,0,0",v
2009-09-29 09:12,1.261,0.039,"0,0,0,0",v
2009-09-29 09:18,1.233,0.033,"0,0,0,0",v
2009-09-29 09:24,1.274,0.037,"0,0,0,0",v
2009-09-29 09:30,1.239,0.038,"0,0,0,0",v
2009-09-29 09:36,1.259,0.041,"0,0,0,0",v
2009-09-29 09:42,1.266,0.036,"0,0,0,0",v
2009-09-29 09:48,1.255,0.036,"0,0,0,0",v
2009-09-29 09:54,1.277,0.036,"0,0,0,0",v
2009-09-29 10:00,1.27,0.036,"0,0,0,0",v
2009-09-29 10:06,1.252,0.036,"0,0,0,0",v
2009-09-29 10:12,1.276,0.038,"0,0,0,0",v
2009-09-29 10:18,1.265,0.038,"0,0,0,0",v
2009-09-29 10:24,1.278,0.037,"0,0,0,0",v
2009-09-29 10:30,1.261,0.036,"0,0,0,0",v
2009-09-29 10:36,1.268,0.03,"0,0,0,0",v
2009-09-29 10:42,1.263,0.04,"0,0,0,0",v
2009-09-29 10:48,1.266,0.037,"0,0,0,0",v
2009-09-29 10:54,1.26,0.038,"0,0,0,0",v
2009-09-29 11:00,1.267,0.036,"0,0,0,0",v
2009-09-29 11:06,1.256,0.035,"0,0,0,0",v
2009-09-29 11:12,1.268,0.034,"0,0,0,0",v
2009-09-29 11:18,1.276,0.04,"0,0,0,0",v
2009-09-29 11:24,1.254,0.035,"0,0,0,0",v
2009-09-29 11:30,1.288,0.037,"0,0,0,0",v
2009-09-29 11:36,1.267,0.031,"0,0,0,0",v
2009-09-29 11:42,1.269,0.03,"0,0,0,0",v
2009-09-29 11:48,1.262,0.038,"0,0,0,0",v
2009-09-29 11:54,1.278,0.03,"0,0,0,0",v
2009-09-29 12:00,1.247,0.035,"0,0,0,0",v
2009-09-29 12:06,1.28,0.031,"0,0,0,0",v
2009-09-29 12:12,1.247,0.035,"0,0,0,0",v
2009-09-29 12:18,1.269,0.039,"0,0,0,0",v
2009-09-29 12:24,1.257,0.03,"0,0,0,0",v
2009-09-29 12:30,1.259,0.029,"0,0,0,0",v
2009-09-29 12:36,1.267,0.03,"0,0,0,0",v
2009-09-29 12:42,1.247,0.031,"0,0,0,0",v
2009-09-29 12:48,1.245,0.035,"0,0,0,0",v
2009-09-29 12:54,1.256,0.035,"0,0,0,0",v
2009-09-29 13:00,1.235,0.035,"0,0,0,0",v
2009-09-29 13:06,1.24,0.035,"0,0,0,0",v
2009-09-29 13:12,1.237,0.036,"0,0,0,0",v
2009-09-29 13:18,1.23,0.035,"0,0,0,0",v
2009-09-29 13:24,1.236,0.034,"0,0,0,0",v
2009-09-29 13:30,1.232,0.033,"0,0,0,0",v
2009-09-29 13:36,1.217,0.03,"0,0,0,0",v
2009-09-29 13:42,1.237,0.034,"0,0,0,0",v
2009-09-29 13:48,1.215,0.038,"0,0,0,0",v
2009-09-29 13:54,1.218,0.032,"0,0,0,0",v
2009-09-29 14:00,1.224,0.032,"0,0,0,0",v
2009-09-29 14:06,1.214,0.035,"0,0,0,0",v
2009-09-29 14:12,1.191,0.039,"0,0,0,0",v
2009-09-29 14:18,1.211,0.036,"0,0,0,0",v
2009-09-29 14:24,1.19,0.036,"0,0,0,0",v
2009-09-29 14:30,1.193,0.031,"0,0,0,0",v
2009-09-29 14:36,1.169,0.032,"0,0,0,0",v
2009-09-29 14:42,1.189,0.03,"0,0,0,0",v
2009-09-29 14:48,1.153,0.03,"0,0,0,0",v
2009-09-29 14:54,1.173,0.031,"0,0,0,0",v
2009-09-29 15:00,1.143,0.028,"0,0,0,0",v
2009-09-29 15:06,1.159,0.032,"0,0,0,0",v
2009-09-29 15:12,1.155,0.028,"0,0,0,0",v
2009-09-29 15:18,1.141,0.028,"0,0,0,0",v
2009-09-29 15:24,1.148,0.027,"0,0,0,0",v
2009-09-29 15:30,1.132,0.03,"0,0,0,0",v
2009-09-29 15:36,1.132,0.03,"0,0,0,0",v
2009-09-29 15:42,1.13,0.029,"0,0,0,0",v
2009-09-29 15:48,1.131,0.032,"0,0,0,0",v
2009-09-29 15:54,1.13,0.026,"0,0,0,0",v
2009-09-29 16:00,1.128,0.025,"0,0,0,0",v
2009-09-29 16:06,1.113,0.026,"0,0,0,0",v
2009-09-29 16:12,1.124,0.026,"0,0,0,0",v
2009-09-29 16:18,1.131,0.029,"0,0,0,0",v
2009-09-29 16:24,1.113,0.027,"0,0,0,0",v
2009-09-29 16:30,1.125,0.028,"0,0,0,0",v
2009-09-29 16:36,1.119,0.027,"0,0,0,0",v
2009-09-29 16:42,1.112,0.031,"0,0,0,0",v
2009-09-29 16:48,1.105,0.029,"0,0,0,0",v
2009-09-29 16:54,1.117,0.026,"0,0,0,0",v
2009-09-29 17:00,1.114,0.027,"0,0,0,0",v
2009-09-29 17:06,1.098,0.027,"0,0,0,0",v
2009-09-29 17:12,1.122,0.027,"0,0,0,0",v
