station_id,timestamp_utc,seconds_from_origin,height_m
46403,2009-09-29T17:00:00+00:00,-2890,4511.653
46403,2009-09-29T17:15:00+00:00,-1990,4511.724
46403,2009-09-29T17:30:00+00:00,-1090,4511.797
46403,2009-09-29T17:45:00+00:00,-190,4511.866
46403,2009-09-29T18:00:00+00:00,710,4511.933
46403,2009-09-29T18:15:00+00:00,1610,4512.002
46403,2009-09-29T18:30:00+00:00,2510,4512.055
46403,2009-09-29T18:45:00+00:00,3410,4512.108
46403,2009-09-29T19:00:00+00:00,4310,4512.156
46403,2009-09-29T19:15:00+00:00,5210,4512.201
46403,2009-09-29T19:30:00+00:00,6110,4512.238
46403,2009-09-29T19:45:00+00:00,7010,4512.264
46403,2009-09-29T20:00:00+00:00,7910,4512.280
46403,2009-09-29T20:15:00+00:00,8810,4512.294
46403,2009-09-29T20:30:00+00:00,9710,4512.297
46403,2009-09-29T20:45:00+00:00,10610,4512.295
46403,2009-09-29T21:00:00+00:00,11510,4512.283
46403,2009-09-29T21:15:00+00:00,12410,4512.265
46403,2009-09-29T21:30:00+00:00,13310,4512.240
46403,2009-09-29T21:45:00+00:00,14210,4512.212
46403,2009-09-29T22:00:00+00:00,15110,4512.179
46403,2009-09-29T22:15:00+00:00,16010,4512.140
46403,2009-09-29T22:30:00+00:00,16910,4512.098
46403,2009-09-29T22:45:00+00:00,17810,4512.054
46403,2009-09-29T23:00:00+00:00,18710,4512.009
46403,2009-09-29T23:15:00+00:00,19610,4511.960
46403,2009-09-29T23:30:00+00:00,20510,4511.913
46403,2009-09-29T23:45:00+00:00,21410,4511.867
