#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2009 08 29 18 00 00 1 5836.081
2009 08 29 18 15 00 1 5836.041
2009 08 29 18 30 00 1 5836.005
2009 08 29 18 45 00 1 5835.972
2009 08 29 19 00 00 1 5835.944
2009 08 29 19 15 00 1 5835.921
2009 08 29 19 30 00 1 5835.903
2009 08 29 19 45 00 1 5835.888
2009 08 29 20 00 00 1 5835.882
2009 08 29 20 15 00 1 5835.876
2009 08 29 20 30 00 1 5835.883
2009 08 29 20 45 00 1 5835.894
2009 08 29 21 00 00 1 5835.907
2009 08 29 21 15 00 1 5835.930
2009 08 29 21 30 00 1 5835.957
2009 08 29 21 45 00 1 5835.984
2009 08 29 22 00 00 1 5836.017
2009 08 29 22 15 00 1 5836.054
2009 08 29 22 30 00 1 5836.093
2009 08 29 22 45 00 1 5836.135
2009 08 29 23 00 00 1 5836.176
2009 08 29 23 15 00 1 5836.216
2009 08 29 23 30 00 1 5836.260
2009 08 29 23 45 00 1 5836.305
2009 08 30 00 00 00 1 5836.345
2009 08 30 00 15 00 1 5836.380
2009 08 30 00 30 00 1 5836.418
2009 08 30 00 45 00 1 5836.453
2009 08 30 01 00 00 1 5836.483
2009 08 30 01 15 00 1 5836.511
2009 08 30 01 30 00 1 5836.534
2009 08 30 01 45 00 1 5836.550
2009 08 30 02 00 00 1 5836.561
2009 08 30 02 15 00 1 5836.570
2009 08 30 02 30 00 1 5836.573
2009 08 30 02 45 00 1 5836.569
2009 08 30 03 00 00 1 5836.563
2009 08 30 03 15 00 1 5836.551
2009 08 30 03 30 00 1 5836.534
2009 08 30 03 45 00 1 5836.514
2009 08 30 04 00 00 1 5836.489
2009 08 30 04 15 00 1 5836.461
2009 08 30 04 30 00 1 5836.430
2009 08 30 04 45 00 1 5836.397
2009 08 30 05 00 00 1 5836.359
2009 08 30 05 15 00 1 5836.317
2009 08 30 05 30 00 1 5836.275
2009 08 30 05 45 00 1 5836.236
2009 08 30 06 00 00 1 5836.197
2009 08 30 06 15 00 1 5836.160
2009 08 30 06 30 00 1 5836.118
2009 08 30 06 45 00 1 5836.087
2009 08 30 07 00 00 1 5836.054
2009 08 30 07 15 00 1 5836.024
2009 08 30 07 30 00 1 5836.003
2009 08 30 07 45 00 1 5835.990
2009 08 30 08 00 00 1 5835.977
2009 08 30 08 15 00 1 5835.967
2009 08 30 08 30 00 1 5835.965
2009 08 30 08 45 00 1 5835.966
2009 08 30 09 00 00 1 5835.972
2009 08 30 09 15 00 1 5835.985
2009 08 30 09 30 00 1 5836.005
2009 08 30 09 45 00 1 5836.030
2009 08 30 10 00 00 1 5836.055
2009 08 30 10 15 00 1 5836.088
2009 08 30 10 30 00 1 5836.118
2009 08 30 10 45 00 1 5836.160
2009 08 30 11 00 00 1 5836.201
2009 08 30 11 15 00 1 5836.242
2009 08 30 11 30 00 1 5836.288
2009 08 30 11 45 00 1 5836.333
2009 08 30 12 00 00 1 5836.374
2009 08 30 12 15 00 1 5836.415
2009 08 30 12 30 00 1 5836.453
2009 08 30 12 45 00 1 5836.490
2009 08 30 13 00 00 1 5836.520
2009 08 30 13 15 00 1 5836.550
2009 08 30 13 30 00 1 5836.574
2009 08 30 13 45 00 1 5836.593
2009 08 30 14 00 00 1 5836.607
2009 08 30 14 15 00 1 5836.617
2009 08 30 14 30 00 1 5836.627
2009 08 30 14 45 00 1 5836.625
2009 08 30 15 00 00 1 5836.619
2009 08 30 15 15 00 1 5836.614
2009 08 30 15 30 00 1 5836.604
2009 08 30 15 45 00 1 5836.576
2009 08 30 16 00 00 1 5836.548
2009 08 30 16 15 00 1 5836.524
2009 08 30 16 30 00 1 5836.494
2009 08 30 16 45 00 1 5836.459
2009 08 30 17 00 00 1 5836.422
2009 08 30 17 15 00 1 5836.383
2009 08 30 17 30 00 1 5836.343
2009 08 30 17 45 00 1 5836.299
2009 08 30 18 00 00 1 5836.259
2009 08 30 18 15 00 1 5836.218
2009 08 30 18 30 00 1 5836.179
2009 08 30 18 45 00 1 5836.138
2009 08 30 19 00 00 1 5836.098
2009 08 30 19 15 00 1 5836.062
2009 08 30 19 30 00 1 5836.028
2009 08 30 19 45 00 1 5835.997
2009 08 30 20 00 00 1 5835.971
2009 08 30 20 15 00 1 5835.952
2009 08 30 20 30 00 1 5835.934
2009 08 30 20 45 00 1 5835.920
2009 08 30 21 00 00 1 5835.916
2009 08 30 21 15 00 1 5835.915
2009 08 30 21 30 00 1 5835.918
2009 08 30 21 45 00 1 5835.927
2009 08 30 22 00 00 1 5835.944
2009 08 30 22 15 00 1 5835.961
2009 08 30 22 30 00 1 5835.983
2009 08 30 22 45 00 1 5836.004
2009 08 30 23 00 00 1 5836.030
2009 08 30 23 15 00 1 5836.062
2009 08 30 23 30 00 1 5836.099
2009 08 30 23 45 00 1 5836.134
2009 08 31 00 00 00 1 5836.173
2009 08 31 00 15 00 1 5836.211
2009 08 31 00 30 00 1 5836.251
2009 08 31 00 45 00 1 5836.289
2009 08 31 01 00 00 1 5836.326
2009 08 31 01 15 00 1 5836.364
2009 08 31 01 30 00 1 5836.397
2009 08 31 01 45 00 1 5836.427
2009 08 31 02 00 00 1 5836.453
2009 08 31 02 15 00 1 5836.477
2009 08 31 02 30 00 1 5836.494
2009 08 31 02 45 00 1 5836.508
2009 08 31 03 00 00 1 5836.520
2009 08 31 03 15 00 1 5836.528
2009 08 31 03 30 00 1 5836.531
2009 08 31 03 45 00 1 5836.529
2009 08 31 04 00 00 1 5836.523
2009 08 31 04 15 00 1 5836.510
2009 08 31 04 30 00 1 5836.493
2009 08 31 04 45 00 1 5836.475
2009 08 31 05 00 00 1 5836.453
2009 08 31 05 15 00 1 5836.428
2009 08 31 05 30 00 1 5836.397
2009 08 31 05 45 00 1 5836.366
2009 08 31 06 00 00 1 5836.330
