t,v,s,f,q
2011-03-11 00:00,2.501,0.037,"0,0,0,0",v
2011-03-11 00:06,2.484,0.032,"0,0,0,0",v
2011-03-11 00:12,2.437,0.027,"0,0,0,0",v
2011-03-11 00:18,2.46,0.036,"0,0,0,0",v
2011-03-11 00:24,2.456,0.03,"0,0,0,0",v
2011-03-11 00:30,2.396,0.032,"0,0,0,0",v
2011-03-11 00:36,2.448,0.03,"0,0,0,0",v
2011-03-11 00:42,2.421,0.031,"0,0,0,0",v
2011-03-11 00:48,2.408,0.032,"0,0,0,0",v
2011-03-11 00:54,2.368,0.037,"0,0,0,0",v
2011-03-11 01:00,2.325,0.032,"0,0,0,0",v
2011-03-11 01:06,2.346,0.023,"0,0,0,0",v
2011-03-11 01:12,2.34,0.023,"0,0,0,0",v
2011-03-11 01:18,2.27,0.039,"0,0,0,0",v
2011-03-11 01:24,2.266,0.033,"0,0,0,0",v
2011-03-11 01:30,2.289,0.021,"0,0,0,0",v
2011-03-11 01:36,2.278,0.041,"0,0,0,0",v
2011-03-11 01:42,2.271,0.029,"0,0,0,0",v
2011-03-11 01:48,2.216,0.023,"0,0,0,0",v
2011-03-11 01:54,2.183,0.034,"0,0,0,0",v
2011-03-11 02:00,2.211,0.031,"0,0,0,0",v
2011-03-11 02:06,2.212,0.032,"0,0,0,0",v
2011-03-11 02:12,2.159,0.043,"0,0,0,0",v
2011-03-11 02:18,2.151,0.035,"0,0,0,0",v
2011-03-11 02:24,2.186,0.04,"0,0,0,0",v
2011-03-11 02:30,2.108,0.034,"0,0,0,0",v
2011-03-11 02:36,2.043,0.03,"0,0,0,0",v
2011-03-11 02:42,2.079,0.024,"0,0,0,0",v
2011-03-11 02:48,2.099,0.023,"0,0,0,0",v
2011-03-11 02:54,2.023,0.031,"0,0,0,0",v
2011-03-11 03:00,2.026,0.025,"0,0,0,0",v
2011-03-11 03:06,2.05,0.024,"0,0,0,0",v
2011-03-11 03:12,2.09,0.028,"0,0,0,0",v
2011-03-11 03:18,2.025,0.03,"0,0,0,0",v
2011-03-11 03:24,1.94,0.025,"0,0,0,0",v
2011-03-11 03:30,1.976,0.029,"0,0,0,0",v
2011-03-11 03:36,2.022,0.025,"0,0,0,0",v
2011-03-11 03:42,2.02,0.029,"0,0,0,0",v
2011-03-11 03:48,1.944,0.027,"0,0,0,0",v
2011-03-11 03:54,1.926,0.036,"0,0,0,0",v
2011-03-11 04:00,1.969,0.023,"0,0,0,0",v
2011-03-11 04:06,1.965,0.034,"0,0,0,0",v
2011-03-11 04:12,1.935,0.036,"0,0,0,0",v
2011-03-11 04:18,1.997,0.026,"0,0,0,0",v
2011-03-11 04:24,1.958,0.033,"0,0,0,0",v
2011-03-11 04:30,1.894,0.027,"0,0,0,0",v
2011-03-11 04:36,1.967,0.038,"0,0,0,0",v
2011-03-11 04:42,2.012,0.019,"0,0,0,0",v
2011-03-11 04:48,1.947,0.022,"0,0,0,0",v
2011-03-11 04:54,1.994,0.026,"0,0,0,0",v
2011-03-11 05:00,1.988,0.022,"0,0,0,0",v
2011-03-11 05:06,2.012,0.017,"0,0,0,0",v
2011-03-11 05:12,1.921,0.03,"0,0,0,0",v
2011-03-11 05:18,2.008,0.03,"0,0,0,0",v
2011-03-11 05:24,2.042,0.026,"0,0,0,0",v
2011-03-11 05:30,2.028,0.022,"0,0,0,0",v
2011-03-11 05:36,1.963,0.024,"0,0,0,0",v
2011-03-11 05:42,2.105,0.029,"0,0,0,0",v
2011-03-11 05:48,2.149,0.035,"0,0,0,0",v
2011-03-11 05:54,2.016,0.018,"0,0,0,0",v
2011-03-11 06:00,2.002,0.032,"0,0,0,0",v
2011-03-11 06:06,2.181,0.038,"0,0,0,0",v
2011-03-11 06:12,2.155,0.027,"0,0,0,0",v
2011-03-11 06:18,2.051,0.024,"0,0,0,0",v
2011-03-11 06:24,2.201,0.042,"0,0,0,0",v
2011-03-11 06:30,2.27,0.028,"0,0,0,0",v
2011-03-11 06:36,2.211,0.024,"0,0,0,0",v
2011-03-11 06:42,2.192,0.032,"0,0,0,0",v
2011-03-11 06:48,2.269,0.025,"0,0,0,0",v
2011-03-11 06:54,2.284,0.022,"0,0,0,0",v
2011-03-11 07:00,2.327,0.037,"0,0,0,0",v
2011-03-11 07:06,2.344,0.028,"0,0,0,0",v
2011-03-11 07:12,2.385,0.026,"0,0,0,0",v
2011-03-11 07:18,2.373,0.03,"0,0,0,0",v
2011-03-11 07:24,2.377,0.024,"0,0,0,0",v
2011-03-11 07:30,2.419,0.02,"0,0,0,0",v
2011-03-11 07:36,2.479,0.032,"0,0,0,0",v
2011-03-11 07:42,2.469,0.029,"0,0,0,0",v
2011-03-11 07:48,2.482,0.033,"0,0,0,0",v
2011-03-11 07:54,2.564,0.023,"0,0,0,0",v
2011-03-11 08:00,2.634,0.03,"0,0,0,0",v
2011-03-11 08:06,2.595,0.027,"0,0,0,0",v
2011-03-11 08:12,2.603,0.033,"0,0,0,0",v
2011-03-11 08:18,2.737,0.028,"0,0,0,0",v
2011-03-11 08:24,2.673,0.035,"0,0,0,0",v
2011-03-11 08:30,2.659,0.029,"0,0,0,0",v
2011-03-11 08:36,2.723,0.031,"0,0,0,0",v
2011-03-11 08:42,2.78,0.026,"0,0,0,0",v
2011-03-11 08:48,2.799,0.031,"0,0,0,0",v
2011-03-11 08:54,2.78,0.026,"0,0,0,0",v
2011-03-11 09:00,2.814,0.036,"0,0,0,0",v
2011-03-11 09:06,2.863,0.038,"0,0,0,0",v
2011-03-11 09:12,2.889,0.033,"0,0,0,0",v
2011-03-11 09:18,2.801,0.029,"0,0,0,0",v
2011-03-11 09:24,2.907,0.027,"0,0,0,0",v
2011-03-11 09:30,2.962,0.029,"0,0,0,0",v
2011-03-11 09:36,2.9,0.037,"0,0,0,0",v
2011-03-11 09:42,2.95,0.03,"0,0,0,0",v
2011-03-11 09:48,3.0,0.03,"0,0,0,0",v
2011-03-11 09:54,2.99,0.041,"0,0,0,0",v
2011-03-11 10:00,3.002,0.037,"0,0,0,0",v
2011-03-11 10:06,3.018,0.034,"0,0,0,0",v
2011-03-11 10:12,3.021,0.029,"0,0,0,0",v
2011-03-11 10:18,3.044,0.037,"0,0,0,0",v
2011-03-11 10:24,2.995,0.029,"0,0,0,0",v
2011-03-11 10:30,3.063,0.03,"0,0,0,0",v
2011-03-11 10:36,3.086,0.036,"0,0,0,0",v
2011-03-11 10:42,3.034,0.034,"0,0,0,0",v
2011-03-11 10:48,3.034,0.034,"0,0,0,0",v
2011-03-11 10:54,3.005,0.034,"0,0,0,0",v
2011-03-11 11:00,3.032,0.031,"0,0,0,0",v
2011-03-11 11:06,3.015,0.031,"0,0,0,0",v
2011-03-11 11:12,3.026,0.026,"0,0,0,0",v
2011-03-11 11:18,3.016,0.025,"0,0,0,0",v
2011-03-11 11:24,3.023,0.025,"0,0,0,0",v
2011-03-11 11:30,3.014,0.025,"0,0,0,0",v
2011-03-11 11:36,2.963,0.026,"0,0,0,0",v
2011-03-11 11:42,2.972,0.026,"0,0,0,0",v
2011-03-11 11:48,2.963,0.026,"0,0,0,0",v
2011-03-11 11:54,2.926,0.025,"0,0,0,0",v
2011-03-11 12:00,2.926,0.026,"0,0,0,0",v
2011-03-11 12:06,2.894,0.027,"0,0,0,0",v
2011-03-11 12:12,2.886,0.021,"0,0,0,0",v
2011-03-11 12:18,2.876,0.023,"0,0,0,0",v
2011-03-11 12:24,2.784,0.03,"0,0,0,0",v
2011-03-11 12:30,2.803,0.026,"0,0,0,0",v
2011-03-11 12:36,2.805,0.03,"0,0,0,0",v
2011-03-11 12:42,2.735,0.028,"0,0,0,0",v
2011-03-11 12:48,2.674,0.027,"0,0,0,0",v
2011-03-11 12:54,2.727,0.029,"0,0,0,0",v
2011-03-11 13:00,2.692,0.028,"0,0,0,0",v
2011-03-11 13:06,2.61,0.032,"0,0,0,0",v
2011-03-11 13:12,2.634,0.026,"0,0,0,0",v
2011-03-11 13:18,2.543,0.025,"0,0,0,0",v
2011-03-11 13:24,2.479,0.023,"0,0,0,0",v
2011-03-11 13:30,2.491,0.025,"0,0,0,0",v
2011-03-11 13:36,2.496,0.02,"0,0,0,0",v
2011-03-11 13:42,2.431,0.033,"0,0,0,0",v
2011-03-11 13:48,2.352,0.023,"0,0,0,0",v
2011-03-11 13:54,2.369,0.024,"0,0,0,0",v
2011-03-11 14:00,2.374,0.029,"0,0,0,0",v
2011-03-11 14:06,2.252,0.024,"0,0,0,0",v
2011-03-11 14:12,2.251,0.017,"0,0,0,0",v
2011-03-11 14:18,2.243,0.024,"0,0,0,0",v
2011-03-11 14:24,2.174,0.026,"0,0,0,0",v
2011-03-11 14:30,2.116,0.019,"0,0,0,0",v
2011-03-11 14:36,2.113,0.02,"0,0,0,0",v
2011-03-11 14:42,2.118,0.021,"0,0,0,0",v
2011-03-11 14:48,2.052,0.028,"0,0,0,0",v
2011-03-11 14:54,1.884,0.026,"0,0,0,0",v
2011-03-11 15:00,1.932,0.027,"0,0,0,0",v
2011-03-11 15:06,1.988,0.023,"0,0,0,0",v
2011-03-11 15:12,1.874,0.021,"0,0,0,0",v
2011-03-11 15:18,1.821,0.02,"0,0,0,0",v
2011-03-11 15:24,1.861,0.028,"0,0,0,0",v
2011-03-11 15:30,1.739,0.033,"0,0,0,0",v
2011-03-11 15:36,1.649,0.019,"0,0,0,0",v
2011-03-11 15:42,1.888,0.084,"0,0,0,0",v
2011-03-11 15:48,2.577,0.076,"0,0,0,0",v
2011-03-11 15:54,2.51,0.122,"0,0,1,0",v
2011-03-11 16:00,1.122,0.266,"0,0,1,0",v
2011-03-11 16:06,-0.15,0.076,"0,0,1,0",v
2011-03-11 16:12,1.414,0.613,"0,0,1,0",v
2011-03-11 16:18,2.571,0.034,"0,0,1,0",v
2011-03-11 16:24,1.545,0.291,"0,0,1,0",v
2011-03-11 16:30,0.213,0.059,"0,0,1,0",v
2011-03-11 16:36,1.814,0.209,"0,0,1,0",v
2011-03-11 16:42,1.577,0.238,"0,0,1,0",v
2011-03-11 16:48,-0.05,0.091,"0,0,0,0",v
2011-03-11 16:54,2.802,0.445,"0,0,1,0",v
2011-03-11 17:00,3.727,0.185,"0,0,1,0",v
2011-03-11 17:06,1.036,0.421,"0,0,1,0",v
2011-03-11 17:12,0.009,0.35,"0,0,1,0",v
2011-03-11 17:18,2.235,0.117,"0,0,1,0",v
2011-03-11 17:24,1.496,0.126,"0,0,1,0",v
2011-03-11 17:30,0.885,0.256,"0,0,1,0",v
2011-03-11 17:36,1.671,0.323,"0,0,1,0",v
2011-03-11 17:42,-0.266,0.143,"0,0,1,0",v
2011-03-11 17:48,0.245,0.182,"0,0,1,0",v
2011-03-11 17:54,2.012,0.337,"0,0,1,0",v
2011-03-11 18:00,3.444,0.221,"0,0,1,0",v
2011-03-11 18:06,2.457,0.53,"0,0,1,0",v
2011-03-11 18:12,-0.105,0.229,"0,0,1,0",v
2011-03-11 18:18,-0.098,0.268,"0,0,1,0",v
2011-03-11 18:24,2.702,0.206,"0,0,0,0",v
2011-03-11 18:30,2.766,0.165,"0,0,1,0",v
2011-03-11 18:36,1.243,0.373,"0,0,1,0",v
2011-03-11 18:42,-0.415,0.002,"0,0,1,0",v
