#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 02 08 06 00 00 1 4259.809
2011 02 08 06 15 00 1 4259.871
2011 02 08 06 30 00 1 4259.940
2011 02 08 06 45 00 1 4260.012
2011 02 08 07 00 00 1 4260.077
2011 02 08 07 15 00 1 4260.151
2011 02 08 07 30 00 1 4260.225
2011 02 08 07 45 00 1 4260.295
2011 02 08 08 00 00 1 4260.364
2011 02 08 08 15 00 1 4260.433
2011 02 08 08 30 00 1 4260.488
2011 02 08 08 45 00 1 4260.545
2011 02 08 09 00 00 1 4260.594
2011 02 08 09 15 00 1 4260.635
2011 02 08 09 30 00 1 4260.669
2011 02 08 09 45 00 1 4260.694
2011 02 08 10 00 00 1 4260.712
2011 02 08 10 15 00 1 4260.724
2011 02 08 10 30 00 1 4260.725
2011 02 08 10 45 00 1 4260.720
2011 02 08 11 00 00 1 4260.705
2011 02 08 11 15 00 1 4260.684
2011 02 08 11 30 00 1 4260.656
2011 02 08 11 45 00 1 4260.619
2011 02 08 12 00 00 1 4260.576
2011 02 08 12 15 00 1 4260.529
2011 02 08 12 30 00 1 4260.477
2011 02 08 12 45 00 1 4260.420
2011 02 08 13 00 00 1 4260.360
2011 02 08 13 15 00 1 4260.294
2011 02 08 13 30 00 1 4260.227
2011 02 08 13 45 00 1 4260.158
2011 02 08 14 00 00 1 4260.094
2011 02 08 14 15 00 1 4260.033
2011 02 08 14 30 00 1 4259.967
2011 02 08 14 45 00 1 4259.913
2011 02 08 15 00 00 1 4259.857
2011 02 08 15 15 00 1 4259.807
2011 02 08 15 30 00 1 4259.762
2011 02 08 15 45 00 1 4259.726
2011 02 08 16 00 00 1 4259.693
2011 02 08 16 15 00 1 4259.669
2011 02 08 16 30 00 1 4259.652
2011 02 08 16 45 00 1 4259.644
2011 02 08 17 00 00 1 4259.642
2011 02 08 17 15 00 1 4259.646
2011 02 08 17 30 00 1 4259.657
2011 02 08 17 45 00 1 4259.675
2011 02 08 18 00 00 1 4259.699
2011 02 08 18 15 00 1 4259.727
2011 02 08 18 30 00 1 4259.760
2011 02 08 18 45 00 1 4259.799
2011 02 08 19 00 00 1 4259.838
2011 02 08 19 15 00 1 4259.883
2011 02 08 19 30 00 1 4259.927
2011 02 08 19 45 00 1 4259.972
2011 02 08 20 00 00 1 4260.016
2011 02 08 20 15 00 1 4260.056
2011 02 08 20 30 00 1 4260.096
2011 02 08 20 45 00 1 4260.134
2011 02 08 21 00 00 1 4260.171
2011 02 08 21 15 00 1 4260.199
2011 02 08 21 30 00 1 4260.228
2011 02 08 21 45 00 1 4260.252
2011 02 08 22 00 00 1 4260.273
2011 02 08 22 15 00 1 4260.284
2011 02 08 22 30 00 1 4260.293
2011 02 08 22 45 00 1 4260.297
2011 02 08 23 00 00 1 4260.291
2011 02 08 23 15 00 1 4260.279
2011 02 08 23 30 00 1 4260.264
2011 02 08 23 45 00 1 4260.243
2011 02 09 00 00 00 1 4260.216
2011 02 09 00 15 00 1 4260.187
2011 02 09 00 30 00 1 4260.156
2011 02 09 00 45 00 1 4260.118
2011 02 09 01 00 00 1 4260.081
2011 02 09 01 15 00 1 4260.038
2011 02 09 01 30 00 1 4259.995
2011 02 09 01 45 00 1 4259.951
2011 02 09 02 00 00 1 4259.908
2011 02 09 02 15 00 1 4259.865
2011 02 09 02 30 00 1 4259.824
2011 02 09 02 45 00 1 4259.789
2011 02 09 03 00 00 1 4259.756
2011 02 09 03 15 00 1 4259.726
2011 02 09 03 30 00 1 4259.706
2011 02 09 03 45 00 1 4259.689
2011 02 09 04 00 00 1 4259.678
2011 02 09 04 15 00 1 4259.673
2011 02 09 04 30 00 1 4259.679
2011 02 09 04 45 00 1 4259.686
2011 02 09 05 00 00 1 4259.701
2011 02 09 05 15 00 1 4259.723
2011 02 09 05 30 00 1 4259.751
2011 02 09 05 45 00 1 4259.787
2011 02 09 06 00 00 1 4259.827
2011 02 09 06 15 00 1 4259.875
2011 02 09 06 30 00 1 4259.926
2011 02 09 06 45 00 1 4259.981
2011 02 09 07 00 00 1 4260.042
2011 02 09 07 15 00 1 4260.106
2011 02 09 07 30 00 1 4260.168
2011 02 09 07 45 00 1 4260.235
2011 02 09 08 00 00 1 4260.299
2011 02 09 08 15 00 1 4260.364
2011 02 09 08 30 00 1 4260.424
2011 02 09 08 45 00 1 4260.481
2011 02 09 09 00 00 1 4260.536
2011 02 09 09 15 00 1 4260.584
2011 02 09 09 30 00 1 4260.626
2011 02 09 09 45 00 1 4260.667
2011 02 09 10 00 00 1 4260.698
2011 02 09 10 15 00 1 4260.720
2011 02 09 10 30 00 1 4260.738
2011 02 09 10 45 00 1 4260.750
2011 02 09 11 00 00 1 4260.752
2011 02 09 11 15 00 1 4260.748
2011 02 09 11 30 00 1 4260.737
2011 02 09 11 45 00 1 4260.719
2011 02 09 12 00 00 1 4260.692
2011 02 09 12 15 00 1 4260.658
2011 02 09 12 30 00 1 4260.620
2011 02 09 12 45 00 1 4260.575
2011 02 09 13 00 00 1 4260.525
2011 02 09 13 15 00 1 4260.469
2011 02 09 13 30 00 1 4260.408
2011 02 09 13 45 00 1 4260.344
2011 02 09 14 00 00 1 4260.279
2011 02 09 14 15 00 1 4260.212
2011 02 09 14 30 00 1 4260.145
2011 02 09 14 45 00 1 4260.080
2011 02 09 15 00 00 1 4260.017
2011 02 09 15 15 00 1 4259.952
2011 02 09 15 30 00 1 4259.896
2011 02 09 15 45 00 1 4259.839
2011 02 09 16 00 00 1 4259.790
2011 02 09 16 15 00 1 4259.745
2011 02 09 16 30 00 1 4259.708
2011 02 09 16 45 00 1 4259.678
2011 02 09 17 00 00 1 4259.649
